日期,品項,數量,金額
2025/03/03,紅燒牛肉麵(套餐),1,145
2025/03/03,紅燒牛肉麵(單點),26,4160
2025/03/03,紅燒牛筋牛肉麵(單點),14,3110
2025/03/03,川辣牛肉麵(單點),11,1760
2025/03/03,川辣牛筋牛肉麵(套餐),2,410
2025/03/03,川辣牛筋牛肉麵(單點),5,1115
2025/03/03,蕃茄牛肉麵(套餐),3,435
2025/03/03,蕃茄牛肉麵(單點),11,1775
2025/03/03,蕃茄牛筋牛肉麵(單點),10,2215
2025/03/03,牛肉麵類共計,83,15125

2025/03/03,沙茶牛肉乾拌麵(單點),4,600
2025/03/03,蒜泥白肉乾麵(單點),1,130
2025/03/03,麻醬乾麵(套餐),1,55
2025/03/03,麻醬乾麵(單點),1,70
2025/03/03,肉燥乾麵(單點),2,155
2025/03/03,拌麵類共計,9,1010

2025/03/03,蒜泥白肉,1,130
2025/03/03,豬耳朵,4,180
2025/03/03,手作類共計,5,310

2025/03/03,涼拌小黃瓜,2,70
2025/03/03,涼拌乾絲,2,70
2025/03/03,桂花豆乾,3,105
2025/03/03,皮蛋豆腐,6,270
2025/03/03,燙青菜,5,225
2025/03/03,小碟類共計,18,740

2025/03/03,牛肉湯(無肉),1,60
2025/03/03,湯品類共計,1,60

2025/03/03,可爾必思,2,70
2025/03/03,可口可樂,3,120
2025/03/03,黑麥汁,1,50
2025/03/03,飲料類共計,6,240

2025/03/03,學生加麵,25,0
2025/03/03,加滷蛋,6,90
2025/03/03,加點類共計,31,90

2025/03/03,總計,122,17485
